station,lat,lon,dyear,dtemp
726810-24131,43.567,-116.241,55,2.095674329501918
724585-93997,38.876,-98.809,43,0.383611111111108
727930-24233,47.444,-122.314,38,-0.03266666666665685
747188-23158,33.619,-114.714,44,0.8021481481481487
723106-13744,34.185,-79.724,13,-0.11388888888889426
726071-14606,44.798,-68.819,17,0.51111111111112
724677-99999,38.534,-106.933,2,0.3373333333333335
722516-12928,27.5,-97.817,13,0.7899492175564404
725620-24023,41.121,-100.669,13,0.4403333333333421
724176-13736,39.643,-79.916,13,-0.043777777777791016
725556-99999,42.579,-100.0,33,0.07377777777780636
702600-26435,64.55,-149.072,9,0.9609789272030724
704140-99999,52.717,174.1,32,0.125584715775787
725260-14860,42.08,-80.183,13,0.7203333333333006
722146-12816,29.692,-82.276,37,-0.1895714285714405
702610-26411,64.804,-147.876,40,2.3408448275861957
727450-14913,46.837,-92.183,38,0.9186111111110904
722615-22001,29.367,-100.783,38,1.462645299145322
722390-03931,31.05,-93.183,18,0.7210568986568688
725340-14819,41.786,-87.752,13,-0.23255555555557805
723140-13881,35.224,-80.955,44,0.5838333333333026
722660-13962,32.411,-99.682,39,0.6630000000000251
722926-03154,33.3,-117.35,13,-0.7600557536792962
723840-23155,35.434,-119.054,44,-0.27322222222218784
724836-23208,38.667,-121.4,34,0.5490383141762436
703950-25325,55.357,-131.712,12,1.4702950767263516
994350-99999,47.667,-122.433,1,-0.08522222222222808
725200-94823,40.485,-80.214,41,2.687523809523796
726450-14898,44.479,-88.137,36,0.9666111111111064
727770-94012,48.543,-109.763,13,-0.944222222222237
722250-13829,32.35,-85.0,42,0.13551943076082296
724940-23234,37.62,-122.365,13,-0.33555555555554406
724930-23230,37.721,-122.221,39,0.2470555555555336
722410-12917,29.951,-94.021,13,1.1052777777777862
724045-93720,38.341,-75.51,8,0.058777777777777374
725070-14765,41.722,-71.433,13,-0.4313888888889039
724917-23233,36.664,-121.608,39,0.38846743295019337
742300-24037,46.427,-105.883,3,-0.1983888888888714
722080-13880,32.899,-80.04,41,1.695111111111089
722910-93116,33.25,-119.45,38,0.6837571096421584
725867-24133,42.542,-113.766,13,-0.4915632183907803
722680-23009,33.308,-104.508,43,2.0911349206348717
726660-24029,44.769,-106.969,13,0.10783333333328926
701940-26413,66.567,-145.267,8,0.4333769841269941
744860-94789,40.639,-73.762,13,0.5252222222222258
724170-13729,38.885,-79.853,13,0.8282068965517624
722610-22010,29.378,-100.927,35,2.271879310344829
725377-14804,42.608,-82.818,44,-0.2437222222222033
992220-99999,44.3,-82.4,2,-0.37333333333332064
723755-03103,35.144,-111.666,1,0.05344444444443752
725450-14990,41.883,-91.717,13,-0.5778888888888787
726395-14808,44.45,-83.4,33,0.45632539682540596
726626-99999,45.15,-89.117,2,-0.7862222222222357
725525-99999,40.605,-98.428,3,-0.3256948549534968
722550-12912,28.861,-96.93,44,2.438419540229873
727755-24112,47.517,-111.183,34,2.77988509780198
726625-24006,44.15,-103.1,42,1.5974030356616566
722210-13858,30.483,-86.517,36,-0.43566666666663423
726435-14991,44.867,-91.488,13,-0.11138888888892495
725130-14777,41.334,-75.727,13,0.5613333333333088
722860-23119,33.9,-117.25,48,2.6530651340995774
727575-94925,47.967,-97.4,21,0.2671666666666539
703710-25333,57.048,-135.365,13,-0.11288888888887527
725036-14757,41.627,-73.884,9,-0.5926666666666591
722050-12815,28.434,-81.325,34,1.734222222222229
726590-14929,45.443,-98.413,13,0.14099999999999113
722536-12911,29.533,-98.262,43,0.15127777777773588
992230-99999,45.3,-82.8,2,-0.24099999999999255
722533-12962,29.36,-99.174,42,0.7478911772184063
999999-93101,33.667,-117.733,14,0.9023333333333312
723600-23051,36.449,-103.154,8,2.1466111111111275
724286-93824,39.944,-81.892,13,-0.337475095785436
702770-99999,60.117,-149.45,31,0.7036781609195302
999999-13739,39.868,-75.231,2,-0.13222222222221092
703860-25329,56.806,-132.937,8,1.001818348318352
725555-99999,41.433,-99.65,3,-0.310888888888897
725780-24156,42.92,-112.571,43,1.0731360153256588
723489-03935,37.225,-89.571,8,-0.10355555555555895
725125-04787,41.178,-78.899,9,-0.2671666666666397
722310-12916,29.993,-90.251,40,1.768833333333319
703400-25506,59.749,-154.909,13,0.9426269519301869
725776-99999,43.6,-110.733,3,-0.15496934865898027
723865-23112,36.25,-115.033,39,0.7045952380951945
724625-99999,37.14,-107.76,3,0.33502955665024103
725025-94741,40.85,-74.061,9,0.271000000000015
724458-99999,38.583,-92.15,2,0.16066666666667118
722597-93985,32.782,-98.06,38,0.05474628378452451
722780-23183,33.428,-112.004,13,0.48955555555559727
727815-24237,47.277,-121.337,12,0.49568019323672985
722650-23023,31.948,-102.209,38,2.6258333333333326
723930-99999,34.75,-120.567,24,0.8275859700685544
724030-93738,38.941,-77.464,13,0.3513333333333435
722505-12904,26.228,-97.654,32,1.4406436781608534
722725-99999,32.25,-107.717,33,0.5732911877394571
725755-24101,41.117,-111.967,39,1.2960593869731696
726775-99999,46.433,-109.833,3,-0.11990753690751887
726885-24152,45.511,-118.425,12,0.21478047849510062
722700-23044,31.811,-106.376,45,2.557555555555595
727810-24243,46.568,-120.543,13,0.3711666666666531
726465-99999,44.783,-89.667,3,0.046666666666652645
725810-24193,40.721,-114.036,39,2.701281639603465
726360-14840,43.171,-86.237,13,0.7034597701148755
